college,kmedian,parmedian,public,private,ivyplus,otherelite,hselective,selective,northeast,midwest,west,pctfemale,pctmarried
Abilene Christian University,40100,101000,0,1,0,0,0,1,0,0,0,55.961841,71.257001
Abraham Baldwin Agricultural College,32500,66000,1,0,0,0,0,1,0,0,0,44.160941,58.075023
Academy Of Art University,27400,92300,0,0,0,0,0,0,0,0,1,41.42569,34.508148
Adams State University,34100,67200,1,0,0,0,0,1,0,0,1,50.084746,56.966305
Adelphi University,50700,96300,0,1,0,0,0,1,1,0,0,71.840209,54.553699
Adrian College,40300,88500,0,1,0,0,0,1,0,1,0,55.478501,65.137172
Adventist University Of Health Sciences,39200,62900,0,1,0,0,0,0,0,0,0,76.348549,53.837162
Agnes Scott College,38900,97200,0,1,0,0,1,0,0,0,0,99.695122,50.208014
Alabama Agricultural & Mechanical University,32900,44500,1,0,0,0,0,1,0,0,0,51.395267,23.482969
Albany College Of Pharmacy And Health Sciences,115800,95800,0,1,0,0,0,0,1,0,0,59.689921,74.353045
Albany State University,31900,43800,1,0,0,0,0,1,0,0,0,63.595647,21.053372
Albion College,48900,120700,0,1,0,0,0,1,0,1,0,56.407034,67.621833
Albright College,47300,89000,0,1,0,0,0,1,1,0,0,59.023356,58.927262
Alderson Broaddus University,37800,59500,0,1,0,0,0,1,0,0,0,63.22751,66.366309
Alfred University,44600,90800,0,1,0,0,0,1,1,0,0,52.639294,60.422957
Allegheny College,52500,102800,0,1,0,0,0,1,1,0,0,50.517839,62.554431
Alma College,48000,98200,0,1,0,0,0,1,0,1,0,56.097561,71.877366
Alvernia University,41800,84300,0,1,0,0,0,1,1,0,0,62.440568,56.393397
Alverno College,33200,65600,0,1,0,0,0,1,0,1,0,99.792963,43.997833
American Institute Of Business,38700,66000,0,1,0,0,0,0,0,1,0,71.465629,68.425125
American Intercontinental University,22100,44700,0,0,0,0,0,0,0,1,0,58.985066,36.369017
American International College,41900,68700,0,1,0,0,0,1,1,0,0,50.483561,42.280263
American Musical & Dramatic Academy,26000,88800,0,1,0,0,0,0,1,0,0,65.619224,36.969981
American National University,17800,38300,0,0,0,0,0,0,0,0,0,81.465137,36.971423
American University ,59100,135700,0,1,0,0,1,0,0,0,0,63.553941,52.136064
Amherst College,69300,181300,0,1,0,1,0,0,1,0,0,48.417452,55.561686
